snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio,method
344,Medium,19.69554901123047,27.32600212097168,0.7207621932029724,20.348556518554688,0.9679089188575745,1.000000238418579,2.438690662384033,0.4100562036037445,0.0,1.000000238418579,level2_core__level4_head
345,Medium,19.546045303344727,27.187240600585938,0.718941867351532,20.313793182373047,0.9622055888175964,1.0000001192092896,2.6641862392425537,0.3753491938114166,0.0,1.0000001192092896,level2_core__level4_head
346,Medium,19.707637786865234,27.281890869140625,0.7223706841468811,20.52873992919922,0.9600023031234741,1.000000238418579,2.6241486072540283,0.38107606768608093,0.0,1.000000238418579,level2_core__level4_head
347,Medium,20.052946090698242,27.608051300048828,0.726344108581543,20.842670440673828,0.9621102213859558,1.0000001192092896,3.094468116760254,0.32315734028816223,0.0,1.0000001192092896,level2_core__level4_head
348,Medium,19.598466873168945,27.22256088256836,0.7199347019195557,20.385940551757812,0.9613717198371887,1.000000238418579,3.2043917179107666,0.3120717704296112,0.0,1.000000238418579,level2_core__level4_head
349,Medium,19.46872329711914,27.29698371887207,0.7132188677787781,20.26087760925293,0.9609022736549377,1.0000003576278687,3.605384111404419,0.2773630619049072,0.0,1.0000003576278687,level2_core__level4_head
340,Low,4.69022274017334,6.814319133758545,0.6882892847061157,4.947772979736328,0.9479462504386902,1.000000238418579,2.240328311920166,0.446363240480423,0.0,1.000000238418579,level2_core__level4_head
341,Low,4.679844856262207,6.989181041717529,0.6695841550827026,4.916252136230469,0.9519131183624268,1.0,2.2532787322998047,0.4437977373600006,0.0,1.0,level2_core__level4_head
342,Low,4.044783115386963,6.593232154846191,0.6134750247001648,4.0824737548828125,0.9907677173614502,1.0,2.234283208847046,0.4475708305835724,0.0,1.0,level2_core__level4_head
343,Low,4.727427005767822,6.626021862030029,0.7134638428688049,4.714164733886719,1.0028133392333984,1.000000238418579,2.1344778537750244,0.46849876642227173,0.0,1.000000238418579,level2_core__level4_head
344,Low,4.245219707489014,6.416229724884033,0.6616377234458923,4.31365966796875,0.9841341376304626,1.000000238418579,2.721979856491089,0.36737972497940063,0.0,1.000000238418579,level2_core__level4_head
345,Low,4.599353313446045,6.324592113494873,0.7272173762321472,4.589912414550781,1.0020568370819092,1.0000001192092896,2.9851455688476562,0.33499208092689514,0.0,1.0000001192092896,level2_core__level4_head
346,Low,4.437475681304932,6.915133953094482,0.6417049765586853,4.43231201171875,1.0011650323867798,1.000000238418579,2.941419839859009,0.33997195959091187,0.0,1.000000238418579,level2_core__level4_head
347,Low,4.399139881134033,7.043655872344971,0.6245535016059875,4.6564788818359375,0.9447352886199951,1.0000001192092896,3.464376211166382,0.28865230083465576,0.0,1.0000001192092896,level2_core__level4_head
348,Low,4.527675151824951,6.645073890686035,0.6813581585884094,4.6368865966796875,0.9764472246170044,1.000000238418579,3.5636682510375977,0.28060978651046753,0.0,1.000000238418579,level2_core__level4_head
349,Low,4.230694770812988,6.171332836151123,0.6855399012565613,4.270652770996094,0.9906435608863831,1.0000003576278687,4.023063659667969,0.2485668808221817,0.0,1.0000003576278687,level2_core__level4_head
300,High,40.71148681640625,43.287471771240234,0.9404911994934082,40.84786605834961,0.9966613054275513,1.0000001192092896,1.488415241241455,0.671855628490448,0.0,1.0000001192092896,level4_core__level2_head
301,High,41.28715515136719,44.01470947265625,0.9380308389663696,41.3199348449707,0.9992066621780396,1.0000004768371582,1.540365219116211,0.649196982383728,0.0,1.0000004768371582,level4_core__level2_head
