load,method,snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
2x,Hattrick,402,Low,5.690224647521973,9.626876831054688,0.5910769104957581,4.9878082275390625,1.14082670211792,1.000000238418579,3.8059747219085693,0.26274484395980835,0.0,1.000000238418579
2x,Hattrick,403,Low,5.724704742431641,9.709461212158203,0.589600682258606,4.873176574707031,1.174737811088562,1.0000001192092896,3.715204954147339,0.26916417479515076,0.0,1.0000001192092896
2x,Hattrick,404,Low,5.19685173034668,9.20159912109375,0.5647770166397095,4.223876953125,1.2303510904312134,1.000000238418579,3.508699655532837,0.28500592708587646,0.0,1.000000238418579
2x,Hattrick,405,Low,5.531716823577881,9.86595344543457,0.5606874823570251,4.6017913818359375,1.2020790576934814,1.000000238418579,3.7322354316711426,0.26793599128723145,0.0,1.000000238418579
2x,Hattrick,406,Low,5.508342742919922,9.563199043273926,0.5759937167167664,4.821952819824219,1.1423468589782715,1.0000001192092896,3.4863228797912598,0.2868351936340332,0.0,1.0000001192092896
2x,Hattrick,407,Low,5.52908992767334,9.749269485473633,0.5671286582946777,4.7951202392578125,1.1530659198760986,1.0000001192092896,3.316025972366333,0.30156582593917847,0.0,1.0000001192092896
2x,Hattrick,408,Low,5.373519420623779,9.627033233642578,0.5581698417663574,4.647560119628906,1.1562021970748901,1.0000001192092896,3.2207038402557373,0.3104911744594574,0.0,1.0000001192092896
2x,Hattrick,409,Low,5.067835330963135,8.909894943237305,0.5687873363494873,4.31982421875,1.173157811164856,1.0,3.1591577529907227,0.31654006242752075,0.0,1.0
2x,Hattrick,410,Low,4.802286148071289,8.999977111816406,0.533588707447052,4.00433349609375,1.1992722749710083,1.0,3.120173215866089,0.32049503922462463,0.0,1.0
2x,Hattrick,411,Low,5.174284934997559,9.606653213500977,0.5386147499084473,4.4609527587890625,1.1599057912826538,1.0000001192092896,3.092379093170166,0.3233756422996521,0.0,1.0000001192092896
2x,Hattrick,412,Low,4.88532829284668,9.068095207214355,0.5387380719184875,3.8247451782226562,1.2772951126098633,1.000000238418579,3.2298226356506348,0.3096145987510681,0.0,1.000000238418579
2x,Hattrick,413,Low,5.273326873779297,8.833683013916016,0.5969567894935608,4.476169586181641,1.1780891418457031,1.0000001192092896,3.2581663131713867,0.3069211542606354,0.0,1.0000001192092896
2x,Hattrick,414,Low,4.7533860206604,8.365398406982422,0.5682199001312256,4.153919219970703,1.1443135738372803,1.0,2.9429569244384766,0.3397943079471588,0.0,1.0
2x,Hattrick,415,Low,4.702840805053711,7.891171455383301,0.5959622859954834,3.9912872314453125,1.1782766580581665,1.0,2.902020215988159,0.3445875346660614,0.0,1.0
2x,Hattrick,416,Low,5.0263261795043945,8.123055458068848,0.6187728643417358,4.24151611328125,1.1850305795669556,1.0000001192092896,2.889066696166992,0.3461325764656067,0.0,1.0000001192092896
2x,Hattrick,417,Low,4.738636016845703,8.185287475585938,0.5789211392402649,4.010231018066406,1.1816366910934448,1.0,2.8500349521636963,0.3508729040622711,0.0,1.0
2x,Hattrick,418,Low,5.107235908508301,8.518708229064941,0.5995317101478577,4.747791290283203,1.0757077932357788,1.0000001192092896,2.9379658699035645,0.34037157893180847,0.0,1.0000001192092896
2x,Hattrick,419,Low,5.077007293701172,8.231069564819336,0.616810142993927,4.583393096923828,1.107696294784546,1.0,2.821322202682495,0.3544437289237976,0.0,1.0
2x,Hattrick,420,Low,5.1833624839782715,8.692743301391602,0.5962861776351929,5.427898406982422,0.9549483060836792,1.0000001192092896,2.6145310401916504,0.3824778199195862,0.0,1.0000001192092896
2x,Hattrick,421,Low,5.199830055236816,8.296121597290039,0.6267784237861633,5.076717376708984,1.0242505073547363,1.0000001192092896,2.573838233947754,0.3885248601436615,0.0,1.0000001192092896
2x,Hattrick,422,Low,5.104191780090332,8.15096664428711,0.6262069344520569,4.895717620849609,1.0425829887390137,1.0000001192092896,2.6748430728912354,0.37385374307632446,0.0,1.0000001192092896
2x,Hattrick,423,Low,4.864092826843262,7.874683380126953,0.6176874041557312,4.831081390380859,1.0068330764770508,1.0000001192092896,2.644376754760742,0.3781609833240509,0.0,1.0000001192092896
2x,Hattrick,424,Low,4.437664031982422,7.341937065124512,0.6044268608093262,4.252193450927734,1.043617606163025,1.0000001192092896,2.588275909423828,0.3863576054573059,0.0,1.0000001192092896
2x,Hattrick,425,Low,4.327195167541504,7.6469950675964355,0.5658686757087708,4.169795989990234,1.0377475023269653,1.0000001192092896,2.590475559234619,0.38602954149246216,0.0,1.0000001192092896
2x,Hattrick,426,Low,4.280517578125,7.210050582885742,0.5936875939369202,4.115421295166016,1.040116548538208,1.0000001192092896,2.5998520851135254,0.38463732600212097,0.0,1.0000001192092896
2x,Hattrick,427,Low,4.566312789916992,7.974862575531006,0.5725882649421692,4.404243469238281,1.0367984771728516,1.0000001192092896,2.6801841259002686,0.37310874462127686,0.0,1.0000001192092896
2x,Hattrick,428,Low,4.091405868530273,7.160965442657471,0.5713483691215515,3.8932762145996094,1.0508902072906494,1.0000001192092896,2.4845306873321533,0.4024905562400818,0.0,1.0000001192092896
2x,Hattrick,429,Low,4.676331520080566,7.6697468757629395,0.6097113490104675,4.389427185058594,1.065362572669983,1.000000238418579,2.4784414768218994,0.4034794569015503,0.0,1.000000238418579
2x,Hattrick,430,Low,4.39990758895874,7.479405403137207,0.5882697105407715,4.178340911865234,1.0530273914337158,1.000000238418579,2.423001289367676,0.41271138191223145,0.0,1.000000238418579
2x,Hattrick,431,Low,4.608141899108887,7.676029205322266,0.6003288626670837,4.373294830322266,1.0537002086639404,1.0000001192092896,2.4677536487579346,0.4052268862724304,0.0,1.0000001192092896
2x,Hattrick,432,High,33.45054626464844,34.192588806152344,0.9782981276512146,33.45075225830078,0.9999938607215881,1.0,1.1545495986938477,0.8661386370658875,0.0,1.0
