snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
426,Low,4.255617141723633,7.210051536560059,0.5902339220046997,4.115421295166016,1.0340659618377686,1.0000001192092896,2.5998520851135254,0.38463732600212097,0.0,1.0000001192092896
427,Low,4.540027618408203,7.974862098693848,0.5692923069000244,4.404243469238281,1.0308302640914917,1.0000001192092896,2.6801841259002686,0.37310874462127686,0.0,1.0000001192092896
428,Low,4.1883087158203125,7.160965442657471,0.5848804712295532,3.8932762145996094,1.0757800340652466,1.0000001192092896,2.4845306873321533,0.4024905562400818,0.0,1.0000001192092896
429,Low,4.760929107666016,7.6697468757629395,0.6207413673400879,4.389427185058594,1.084635615348816,1.0000003576278687,2.4784414768218994,0.40347951650619507,0.0,1.0000003576278687
430,Low,4.503087043762207,7.479404926300049,0.6020649075508118,4.178340911865234,1.077721357345581,1.0000001192092896,2.423001289367676,0.41271135210990906,0.0,1.0000001192092896
431,Low,4.7312726974487305,7.676029205322266,0.6163698434829712,4.373294830322266,1.0818554162979126,1.000000238418579,2.4677536487579346,0.4052269458770752,0.0,1.000000238418579
432,Low,4.222470760345459,6.819363117218018,0.6191884279251099,4.074577331542969,1.0362966060638428,1.000000238418579,2.3984434604644775,0.4169371724128723,0.0,1.000000238418579
433,Low,4.264155387878418,7.14540958404541,0.5967684984207153,4.161109924316406,1.0247639417648315,1.0000001192092896,2.3003292083740234,0.4347204267978668,0.0,1.0000001192092896
434,Low,4.125535488128662,6.911327838897705,0.5969237089157104,4.020820617675781,1.026043176651001,1.0000001192092896,2.2801828384399414,0.4385613799095154,0.0,1.0000001192092896
435,Low,4.824714183807373,6.895732879638672,0.6996666193008423,5.002494812011719,0.964461624622345,1.0000001192092896,2.2699332237243652,0.44054165482521057,0.0,1.0000001192092896
436,Low,4.400023460388184,7.086631774902344,0.6208906769752502,4.447750091552734,0.989269495010376,1.000000238418579,2.274751901626587,0.43960848450660706,0.0,1.000000238418579
437,Low,4.542550086975098,6.994507312774658,0.6494453549385071,4.724117279052734,0.9615659117698669,1.000000238418579,2.238699197769165,0.44668808579444885,0.0,1.000000238418579
438,Low,4.4822306632995605,6.4843645095825195,0.691236674785614,4.7272491455078125,0.948168933391571,1.000000238418579,2.157700777053833,0.463456392288208,0.0,1.000000238418579
439,Low,4.684695243835449,6.828071594238281,0.6860934495925903,5.091827392578125,0.9200420379638672,1.000000238418579,2.2361667156219482,0.4471939504146576,0.0,1.000000238418579
440,High,31.84355354309082,32.232242584228516,0.9879409670829773,31.84406280517578,0.9999840259552002,1.0000003576278687,1.1210262775421143,0.8920400738716125,0.0,1.0000003576278687
